ASN-source,ASN,Name,Type,Bandwidth,Gb/s,Connectivity Type
AS38566,AS2914,NTT (SG),ISP-Inter,0.35,Gbps,Transit/IPv6 Dual Stack
AS4651,AS45758,Triple T Internet/ Triple T Broadband,ISP-Local,0.5,Gbps,IPv4
AS4651,AS38450,GIN,ISP-Govt,1,Gbps,IPv4
AS4651,AS18013,B Network Solution (BNS),ISP-Local,0.01,Gbps,IPv4
AS4651,AS9931,CAT-ISP,ISP-Local,200,Gbps,IPv4
AS4651,AS131090,CAT ON Net,ISP-Local,210,Gbps,IPv4
AS4651,AS4618,INET,ISP-Local,1.8,Gbps,IPv4
AS4651,AS24187,KIRZ,ISP-Local,0.72,Gbps,IPv4
AS4651,AS56067,Metrabyte,ISP-Local,0.101,Gbps,IPv4
AS4651,AS38888,MILCOM,ISP-Local,0.6,Gbps,IPv4
AS4651,AS45328,NIPA.CLOUD,ISP-Local,0.1,Gbps,IPv6 Dual Stack
AS4651,AS38566,NTT (TH),ISP-Local,0.38,Gbps,IPv6 Dual Stack
AS4651,AS4765,Pacific Internet,ISP-Local,0.5,Gbps,Peering
AS4651,AS23884,PROEN Internet,ISP-Local,1.05,Gbps,IPv6 Dual Stack
AS4651,AS45413,ServeNET,ISP-Local,0.03,Gbps,IPv4
AS4651,AS5639,SIAMDATA,ISP-Local,0.2,Gbps,IPv4
AS4651,AS23969,TOT ISP,ISP-Local,40,Gbps,IPv4
AS4651,AS131293 ,TOT LLI,ISP-Local,10,Gbps,IPv4
AS4651,AS7470,True Internet Corporation,ISP-Local,140,Gbps,IPv4
AS4651,AS38794,UIH/ BEENET,ISP-Local,0.7,Gbps,IPv6 Dual Stack
AS4651,AS38328,ICT MOF,ISP-Govt,0.23,Gbps,IPv4
AS4651,AS4621,UniNet,ISP-Govt,100,Gbps,IPv4
AS4651,AS1200,AMS-IX (AN),ISP-Inter,9,Gbps,Peering
AS4651,AS19996,Any2Coresite (US),ISP-Inter,10,Gbps,Peering
AS4651,AS59360,BBIX (HK),ISP-Inter,10,Gbps,Peering
AS4651,AS59360,BBIX (SG),ISP-Inter,1,Gbps,Peering
AS4651,AS9505,CHT-I (TW),ISP-Inter,0.155,Gbps,Peering
AS4651,AS3462,CHT-I HiNet (TW),ISP-Inter,0.31,Gbps,Peering
AS4651,AS6695,DE-CIX (DE),ISP-Inter,10,Gbps,Peering
AS4651,AS15133,EdgeCast (SG),ISP-Inter,20,Gbps,Peering
AS4651,AS65517,Equinix (FR),ISP-Inter,10,Gbps,Peering
AS4651,AS24115,Equinix (SG),ISP-Inter,100,Gbps,Peering
AS4651,AS65517,Equinix San Jose (US),ISP-Inter,10,Gbps,Peering
AS4651,AS8966,Etisalat (UAE),ISP-Inter,0.31,Gbps,Peering
AS4651,AS32934,Facebook (SG)   ,ISP-Inter,40,Gbps,Peering
AS4651,AS136975,GlobalNet (MM),ISP-Inter,20,Gbps,Transit
AS4651,AS15169,Google (HK),ISP-Inter,40,Gbps,Peering
AS4651,AS15169,Google (SG),ISP-Inter,80,Gbps,Peering
AS4651,AS4635,HKIX (HK),ISP-Inter,20,Gbps,Peering
AS4651,AS6939,Hurricane  (HK),ISP-Inter,10,Gbps,Transit
AS4651,AS6939,Hurricane  (US),ISP-Inter,10,Gbps,Transit
AS4651,AS45686,JPNAP (JP),ISP-Inter,10,Gbps,Peering
AS4651,AS2516,KDDI (HK),ISP-Inter,9.6,Gbps,Transit
AS4651,AS174,Cogent (SG),ISP-Inter,10,Gbps,Peering
AS4651,AS3356,Level3  (US),ISP-Inter,10,Gbps,Transit
AS4651,AS3786,LG DACOM (KR),ISP-Inter,0.31,Gbps,Peering
AS4651,AS5459,LINX (UK),ISP-Inter,10,Gbps,Peering
AS4651,AS8075,Microsoft (HK),ISP-Inter,10,Gbps,Peering
AS4651,AS8075,Microsoft (US),ISP-Inter,10,Gbps,Peering
AS4651,AS45558,MPT (MM),ISP-Inter,5,Gbps,Transit
AS4651,AS2906,Netflix (SG),ISP-Inter,10,Gbps,Peering
AS4651,AS34307,NLIX (NL),ISP-Inter,10,Gbps,Peering
AS4651,AS2914,NTT (HK),ISP-Inter,12,Gbps,Transit
AS4651,AS2914,NTT (SG),ISP-Inter,10,Gbps,Transit
AS4651,AS3491,PCCW (HK),ISP-Inter,16,Gbps,Transit
AS4651,AS9299,PLDT (PH) ,ISP-Inter,1,Gbps,Peering
AS4651,AS7473,SingTel (SG),ISP-Inter,10,Gbps,Transit
AS4651,AS132513,Sky Telecom (LA),ISP-Inter,0.6,Gbps,Peering
AS4651,AS17676,SOFTBANK (HK),ISP-Inter,1,Gbps,Transit
AS4651,AS4657,StarHub (SG) ,ISP-Inter,1,Gbps,Peering
AS4651,AS4755,TATA  (IN),ISP-Inter,0.045,Gbps,Peering
AS4651,AS6453,TATA (SG),ISP-Inter,8,Gbps,Transit
AS4651,AS6453,TATA (US),ISP-Inter,4,Gbps,Transit
AS4651,AS1299,TeliaSonera (HK),ISP-Inter,5.5,Gbps,Transit
AS4651,AS1299,TeliaSonera (SG),ISP-Inter,5.5,Gbps,Transit
AS4651,AS4637,Telstra (HK) ,ISP-Inter,1.244,Gbps,Peering
AS4651,AS4637,Telstra (SG),ISP-Inter,0.31,Gbps,Peering
AS4651,AS4788,TM (MY) ,ISP-Inter,10.932,Gbps,Peering
AS4651,AS46489,Twitch  (SG),ISP-Inter,10,Gbps,Peering
AS4651,AS45899,VNPT Corp (VN),ISP-Inter,1,Gbps,Peering
AS4651,AS1273,Vodafone  (FR) ,ISP-Inter,8,Gbps,Transit
AS45796,AS45581,INFONET,ISP-Local,0.01,Gbps,IPv4
AS45796,AS10089,DTAC (IIG),IIG,2,Gbps,Transit
AS45796,AS38794,UIH (Beenet),ISP-Local,200,Gbps,IPv6 Dual Stack
AS45796,AS38328,ICT MOF,ISP-Govt,0.23,Gbps,IPv6 Dual Stack
AS45796,AS9226,1-Net (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS20940,Akamai (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS45102,Alibaba (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS38895,Amazon (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS714,Apple (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS59360,BBIX (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS55511,Beeline (LA),ISP-Inter,2.5,Gbps,IPv4
AS45796,AS36408,CDNetworks (SG),ISP-Inter,10,Gbps,Peering
AS45796,AS13335,CloudFlare (SG),ISP-Inter,20,Gbps,Peering/IPv6 Dual Stack
AS45796,AS41690,Dailymotion (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS133165,Digital Ocean (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS19679,Dropbox (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS15133,EdgeCast (SG),ISP-Inter,10,Gbps,Peering
AS45796,AS24115,Equinix (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS10226,ETL (LA),ISP-Inter,1,Gbps,IPv4
AS45796,AS32934,Facebook (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS4775,Globe Telecom (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS15169,Google (SG),ISP-Inter,20,Gbps,Peering/IPv6 Dual Stack
AS45796,AS6939,Hurricane (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS2516,KDDI (SG),ISP-Inter,1,Gbps,Transit/IPv6 Dual Stack
AS45796,AS9873,LAO Telecom (LA),ISP-Inter,2.5,Gbps,IPv4
AS45796,AS22822,LimeLight (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS14413,Linkedin (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS6939,Hurrican (SG),ISP-Inter,10,Gbps,Transit/IPv6 Dual Stack
AS45796,AS8075,Microsoft (SG),ISP-Inter,20,Gbps,Peering/IPv6 Dual Stack
AS45796,AS2906,Netflix (SG),ISP-Inter,20,Gbps,Peering/IPv6 Dual Stack
AS45796,AS8674,Netnod (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS23576,NHN (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS2914,NTT (SG),ISP-Inter,10,Gbps,IPv6 Dual Stack
AS45796,AS36692,OpenDNS (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS3491,PCCW (HK),ISP-Inter,0.4,Gbps,Transit/IPv6 Dual Stack
AS45796,AS3491,PCCW (SG),ISP-Inter,1,Gbps,Transit/IPv6 Dual Stack
AS45796,AS24482,SG.GS (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS55518,SGIX (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS17676,SOFTBANK (SG),ISP-Inter,1,Gbps,Peering/IPv6 Dual Stack
AS45796,AS36351,SoftLayer (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS3303,Swisscom (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS4788,TM (MY),ISP-Inter,10,Gbps,Transit/IPv6 Dual Stack
AS45796,AS46489,Twitch(SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS13414,Twitter (SG),ISP-Inter,10,Gbps,Peering
AS45796,AS131267,UNITEL (LA),ISP-Inter,2,Gbps,IPv4
AS45796,AS32590,VALVE (SG),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
AS45796,AS18106,Viewqwest (SG),ISP-Inter,10,Gbps,Peering
AS45796,AS4826,Vocus (AU),ISP-Inter,10,Gbps,Peering/IPv6 Dual Stack
